Title,Brand,Price,Prime,URL
"Maybelline New York Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Very Black, 1 Count",Maybelline New York,$9.62,yes,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H4FSGDW/ref=sr_1_11?qid=1689463112&s=beauty&sr=1-11
"L’Oréal Paris Makeup True Match Lumi Glotion, Natural Glow Enhancer, Illuminator Highlighter Skin Tint, for an All Day Radiant Glow, Medium, 1.35 Ounces",None,$12.97,yes,https://www.amazon.com/Paris-Makeup-True-Natural-Glow-Illuminator-Highlighter-Day-Radiant-Glow/dp/B074PTZCNX/ref=sr_1_12?qid=1689463112&s=beauty&sr=1-12
"URBAN DECAY Naked2 Basics Eyeshadow Palette, 6 Taupe & Brown Matte Neutral Shades - Ultra-Blendable, Rich Colors with Velvety Texture - Makeup Set Includes Mirror & Full-Size Pans - Great for Travel",URBAN DECAY,$33.00,yes,https://www.amazon.com/Naked2-Basics-Eyeshadow-Palette-Neutral/dp/B07LBLK57Q/ref=sr_1_13?qid=1689463112&s=beauty&sr=1-13
"IT Cosmetics Superhero Mascara - Super Black Elastic Stretch Volumizing & Lengthening Mascara - Lifts, Separates & Conditions Lashes - With Collagen, Biotin & Peptides",IT Cosmetics,$28.00,No,https://www.amazon.com/Cosmetics-Superhero-Elastic-Stretch-Volumizing/dp/B01AKTZFZU/ref=sr_1_14?qid=1689463112&s=beauty&sr=1-14
"NYX PROFESSIONAL MAKEUP Makeup Setting Spray, Matte Finish, 2.03 Fl Oz (Pack of 1)",NYX PROFESSIONAL MAKEUP,$7.99,yes,https://www.amazon.com/NYX-Professional-Makeup-Setting-Lasting/dp/B00B4YVU4G/ref=sr_1_15?qid=1689463112&s=beauty&sr=1-15
"L'Oreal Paris Voluminous Makeup Lash Paradise Mascara, Voluptuous Volume, Intense Length, Feathery Soft Full Lashes, No Flaking, No Smudging, No Clumping, Blackest Black, 1 Count, Packaging May Vary",L’Oréal Paris,$7.33,yes,https://www.amazon.com/LOreal-Paris-Voluminous-Paradise-Washable/dp/B06XF2TR11/ref=sr_1_16?qid=1689463112&s=beauty&sr=1-16
"Vespa Beauty Gel Eyeliner, Baroque",Vespa Beauty,"$22,00",No,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzI3NDk1Nzg3NDk2NzA5OjE2ODk0NjMxMTI6c3BfbXRmX2Jyb3dzZToyMDAxNzMzOTc3NjEzOTg6OjA6Og&url=%2FGel-Eyeliner-Vespa-Beauty-Baroque%2Fdp%2FB09ZKQNBSV%2Fref%3Dsr_1_17_sspa%3Fqid%3D1689463112%26s%3Dbeauty%26sr%3D1-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
Eyebrow Pencil-Microblading Pencil for Eyebrows-Waterproof liquid Eyebrow Pencil - with a Micro Fork Tip Applicator-eyebrow microblading pen-Creates Natural Looking Eyebrow for daily eye Makeup（01#Light Brown）,Udream,"$13,99",yes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzI3NDk1Nzg3NDk2NzA5OjE2ODk0NjMxMTI6c3BfbXRmX2Jyb3dzZTozMDAwMDczMDQ3NDMyMDI6OjA6Og&url=%2FEyebrow-Pencil-Microblading-Pencil-Eyebrows-Waterproof-liquid%2Fdp%2FB0CB4W1JG2%2Fref%3Dsr_1_18_sspa%3Fqid%3D1689463112%26s%3Dbeauty%26sr%3D1-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"LOVB LOVB Pudding Glow Korean Lip Tint | Long-Lasting Lip Gloss Tint for Glowy, Hydrated Lips | Moisturizing, Non-Sticky Glossy Lip Stain 0.14 Oz (01 RED BERRY)",LOVB LOVB,"$17,00",yes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzI3NDk1Nzg3NDk2NzA5OjE2ODk0NjMxMTI6c3BfbXRmX2Jyb3dzZToyMDAxNDU5ODc0Mjk3OTg6OjA6Og&url=%2FLOVB-Long-Lasting-Hydrated-Moisturizing-Non-Sticky%2Fdp%2FB0BRK6Q4CG%2Fref%3Dsr_1_19_sspa%3Fqid%3D1689463112%26s%3Dbeauty%26sr%3D1-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"Black Waterproof Mascara for Eyelash, 5D Silk Fiber Liquid Colored Lash Extensions Mascara, Long Lasting Smudge-Proof Volumizing & Lengthening Color Mascara, Vegan & Hypoallergenic Eye Makeup - 01",Generic,"$7,99",yes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzI3NDk1Nzg3NDk2NzA5OjE2ODk0NjMxMTI6c3BfbXRmX2Jyb3dzZTozMDAwMTM5NzEyNDA3MDI6OjA6Og&url=%2FVoluminous-Lengthening-Waterproof-Smudge-Proof-Hypoallergenic%2Fdp%2FB0C9321151%2Fref%3Dsr_1_20_sspa%3Fqid%3D1689463112%26s%3Dbeauty%26sr%3D1-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
